id,编号,序号,名称,页面标题,精灵阶段,主属性,副属性,特性,特性描述,生命,物攻,魔攻,物防,魔防,速度,种族值总和,回顾,星光值,是否有异色,初阶名称,地区形态,进化条件,体型,重量,分布地区,更新版本,页面链接,立绘链接,立绘路径
54,028,10028,布是岩,布是岩,Ⅱ阶,地,,地脉,初始能量为0，入场前己方精灵每放1次地系技能，回复3能量。,96,108,39,127,120,56,546,,,否,布是石,,,0.93~1.34,97.5~115,常见于洞穴、山地,0.6,https://wiki.biligame.com/rocom/%E5%B8%83%E6%98%AF%E5%B2%A9,https://patchwiki.biligame.com/images/rocom/f/f7/k35p74v6zheql64uqzmjj76g1yalg5e.png,
55,029,10029,布克棱岩,布克棱岩,最终阶段,地,,地脉,初始能量为0，入场前己方精灵每放1次地系技能，回复3能量。,120,135,49,159,150,70,683,,,否,布是石,,,1.75~2.5,287~315,常见于洞穴、山地,0.6,https://wiki.biligame.com/rocom/%E5%B8%83%E5%85%8B%E6%A3%B1%E5%B2%A9,https://patchwiki.biligame.com/images/rocom/5/54/108j9nm783krd2nenbkyvvgy2xkgoso.png,
56,029,100291,迷嶂布莱克,迷嶂布莱克,最终阶段,地,,地脉馈赠,突破能量上限并立即回复10能量，入场前己方精灵每放1次地系技能，回复3能量。,125,139,52,164,154,70,704,,,否,布是石,,,2.63~3.3,668.5~870.4,常见于洞穴、山地,0.6,https://wiki.biligame.com/rocom/%E8%BF%B7%E5%B6%82%E5%B8%83%E8%8E%B1%E5%85%8B,https://patchwiki.biligame.com/images/rocom/8/80/dyd0s9we1cd554cbcxlq27vvrgwo8mw.png,
57,030,10030,恶魔叮,恶魔叮,Ⅰ阶,恶,翼,渴求,入场时获得50%吸血。,86,112,44,58,43,84,427,,,是,恶魔叮,,,0.39~0.56,3.6~5.2,旧飞艇航道,0.6,https://wiki.biligame.com/rocom/%E6%81%B6%E9%AD%94%E5%8F%AE,https://patchwiki.biligame.com/images/rocom/1/1e/dup0zejk454blppyqq2c2q7mnym6s4s.png,
58,031,10031,叮叮恶魔,叮叮恶魔,最终阶段,恶,翼,渴求,入场时获得50%吸血。,108,140,55,73,54,105,535,,,是,恶魔叮,,,0.78~1.12,25~34,监管区,0.6,https://wiki.biligame.com/rocom/%E5%8F%AE%E5%8F%AE%E6%81%B6%E9%AD%94,https://patchwiki.biligame.com/images/rocom/0/0b/o9iqtz0rdzb2rkqkewx4v29qya3rknq.png,
59,032,10032,毛毛,毛毛,Ⅰ阶,虫,萌,化茧,受到致命伤害时，获得1层萌化，并免疫此次伤害。,32,28,28,40,40,60,228,,,否,毛毛,,,0.31~0.45,3~4.5,常见于果树下,0.6,https://wiki.biligame.com/rocom/%E6%AF%9B%E6%AF%9B,https://patchwiki.biligame.com/images/rocom/a/af/owgmiaowlsk52x3cjatoiowp9hq4d4u.png,
60,033,10033,爬爬,爬爬,Ⅱ阶,虫,萌,化茧,受到致命伤害时，获得1层萌化，并免疫此次伤害。,42,37,37,53,53,80,302,,,否,毛毛,,,0.35~0.51,5.5~8.4,常见于果树下,0.6,https://wiki.biligame.com/rocom/%E7%88%AC%E7%88%AC,https://patchwiki.biligame.com/images/rocom/e/ea/524nzn85da28i54swvfzqbucowmlvu0.png,
61,034,100342,化蝶,化蝶（喵喵的样子）,最终阶段,虫,萌,化茧,受到致命伤害时，获得1层萌化，并免疫此次伤害。,49,47,41,67,67,95,366,,,否,毛毛,喵喵的样子,,0.76~1.08,15.6~17.8,常见于果树下,0.6,https://wiki.biligame.com/rocom/%E5%8C%96%E8%9D%B6%EF%BC%88%E5%96%B5%E5%96%B5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/b/bc/akfg87vt0fsk5792mxpn079onvax2bw.png,
62,034,100343,化蝶,化蝶（奇丽花的样子）,最终阶段,虫,萌,化茧,受到致命伤害时，获得1层萌化，并免疫此次伤害。,55,46,44,62,65,90,362,,,否,毛毛,奇丽花的样子,,0.76~1.08,15.6~17.8,常见于果树下,0.6,https://wiki.biligame.com/rocom/%E5%8C%96%E8%9D%B6%EF%BC%88%E5%A5%87%E4%B8%BD%E8%8A%B1%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/0/01/i102dqlqoqyiv1hoappms4prudfnx7i.png,
63,034,10034,化蝶,化蝶（平常的样子）,最终阶段,虫,萌,化茧,受到致命伤害时，获得1层萌化，并免疫此次伤害。,53,46,46,66,66,100,377,,,否,毛毛,平常的样子,,0.76~1.08,15.6~17.8,常见于果树下,0.6,https://wiki.biligame.com/rocom/%E5%8C%96%E8%9D%B6%EF%BC%88%E5%B9%B3%E5%B8%B8%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/3/3b/s9jxu0z2vcq9ywb7wkgoyyyivr8hvsd.png,
64,034,100341,化蝶,化蝶（幽冥眼的样子）,最终阶段,虫,萌,化茧,受到致命伤害时，获得1层萌化，并免疫此次伤害。,43,42,42,67,70,105,369,,,否,毛毛,幽冥眼的样子,,0.76~1.08,15.6~17.8,常见于果树下,0.6,https://wiki.biligame.com/rocom/%E5%8C%96%E8%9D%B6%EF%BC%88%E5%B9%BD%E5%86%A5%E7%9C%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/3/37/dquw6g29yuypnwprhvouq6yue9fkvw2.png,
65,035,100351,幻影荆棘,幻影荆棘,最终阶段,幽,草,大捞一笔,回合结束时，偷取所有敌方精灵2能量。,125,96,96,72,134,80,603,,,否,幽影树,,,1.01~1.45,55.7~72.7,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%B9%BB%E5%BD%B1%E8%8D%86%E6%A3%98,https://patchwiki.biligame.com/images/rocom/1/1f/bqzxnwv4tgh97jvh40eh3mtgp5kt8h4.png,
66,035,10035,幽影树,幽影树,最终阶段,幽,草,小偷小摸,入场时偷取所有敌方精灵2能量。,111,96,96,65,123,80,571,3150,42,是,幽影树,,,0.64~0.92,29.5~37.5,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%B9%BD%E5%BD%B1%E6%A0%91,https://patchwiki.biligame.com/images/rocom/4/42/h8x8d49z7tbq02dibjv2lgnvk344pb7.png,
67,036,10036,小鼠獭,小鼠獭,Ⅰ阶,普通,水,保守派,总技能能耗小于4时，自己获得双防+80%。,73,57,57,60,60,48,355,,,否,小鼠獭,,,0.37~0.53,6.7~7.5,常见于沙地,0.6,https://wiki.biligame.com/rocom/%E5%B0%8F%E9%BC%A0%E7%8D%AD,https://patchwiki.biligame.com/images/rocom/7/71/mhtudimorxc3o9un25icovvi9lahiza.png,
68,037,10037,燕尾獭,燕尾獭,Ⅱ阶,普通,水,保守派,总技能能耗小于4时，自己获得双防+80%。,97,77,77,81,81,64,477,,,否,小鼠獭,,,0.61~0.88,28.6~31.5,常见于沙地,0.6,https://wiki.biligame.com/rocom/%E7%87%95%E5%B0%BE%E7%8D%AD,https://patchwiki.biligame.com/images/rocom/e/ed/4k5p223a49bec7iscjj7m5ouqdxrufa.png,
69,038,10038,卷胡巨獭,卷胡巨獭,最终阶段,普通,水,保守派,总技能能耗小于4时，自己获得双防+80%。,121,96,96,101,101,80,595,,,否,小鼠獭,,,0.76~1.08,76.5~90,常见于沙地,0.6,https://wiki.biligame.com/rocom/%E5%8D%B7%E8%83%A1%E5%B7%A8%E7%8D%AD,https://patchwiki.biligame.com/images/rocom/4/4d/h1d1rubaklvrkodj1fr4j8jyiaqho8z.png,
70,039,10039,矿晶虫,矿晶虫,Ⅰ阶,光,地,偏振,受到自己携带技能系别的攻击伤害-40%。,79,77,81,102,75,52,466,,,否,矿晶虫,,,0.54~0.77,5.8~10.53,常见于矿石群旁,0.6,https://wiki.biligame.com/rocom/%E7%9F%BF%E6%99%B6%E8%99%AB,https://patchwiki.biligame.com/images/rocom/4/4b/rakgahc3c1vonzb7l1oypg0kwmhpi3z.png,
71,040,100402,晶石蜗,晶石蜗（星彩榴石的样子）,最终阶段,光,地,偏振,受到自己携带技能系别的攻击伤害-40%。,97,101,101,128,91,65,583,,,否,矿晶虫,星彩榴石的样子,撞击三次黄石榴石,1.03~1.35,59.1~71.05,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%99%B6%E7%9F%B3%E8%9C%97%EF%BC%88%E6%98%9F%E5%BD%A9%E6%A6%B4%E7%9F%B3%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/f/f2/g2azc3v4bx59fpph1k35rctwlyp21ha.png,
72,040,100403,晶石蜗,晶石蜗（火山琉璃的样子）,最终阶段,光,地,偏振,受到自己携带技能系别的攻击伤害-40%。,97,97,101,132,91,65,583,,,否,矿晶虫,火山琉璃的样子,撞击三次黑晶琉璃,1.03~1.35,59.1~71.05,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%99%B6%E7%9F%B3%E8%9C%97%EF%BC%88%E7%81%AB%E5%B1%B1%E7%90%89%E7%92%83%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/2/2c/ourzhfziethzzrj1p9oktg8dmrimyj2.png,
73,040,100405,晶石蜗,晶石蜗（烧蓝黄金的样子）,最终阶段,光,地,偏振,受到自己携带技能系别的攻击伤害-40%。,95,97,102,130,91,70,585,,,否,矿晶虫,烧蓝黄金的样子,撞击任意三种矿石各三次,1.03~1.35,59.1~71.05,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%99%B6%E7%9F%B3%E8%9C%97%EF%BC%88%E7%83%A7%E8%93%9D%E9%BB%84%E9%87%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/5/57/3oyv4lut7bhzug4lyjvrgmswvs1tq3r.png,
74,040,100401,晶石蜗,晶石蜗（莲花刚玉的样子）,最终阶段,光,地,偏振,受到自己携带技能系别的攻击伤害-40%。,94,97,101,137,91,65,585,,,否,矿晶虫,莲花刚玉的样子,撞击三次紫莲钢玉,1.03~1.35,59.1~71.05,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%99%B6%E7%9F%B3%E8%9C%97%EF%BC%88%E8%8E%B2%E8%8A%B1%E5%88%9A%E7%8E%89%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/3/34/hsgpczmg6133ymnyo8el4g4nylfmhrx.png,
75,040,100404,晶石蜗,晶石蜗（蓝锥矿的样子）,最终阶段,光,地,偏振,受到自己携带技能系别的攻击伤害-40%。,99,97,107,124,91,65,583,,,否,矿晶虫,蓝锥矿的样子,撞击两种矿石各三次,1.03~1.35,59.1~71.05,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%99%B6%E7%9F%B3%E8%9C%97%EF%BC%88%E8%93%9D%E9%94%A5%E7%9F%BF%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/c/cd/cyb7y777hcse9e1qe3qv9j11ed11s7i.png,
76,040,10040,晶石蜗,晶石蜗（西瓜碧玺的样子）,最终阶段,光,地,偏振,受到自己携带技能系别的攻击伤害-40%。,99,96,101,128,94,65,583,,,否,矿晶虫,西瓜碧玺的样子,撞击三次蓝晶碧玺,1.03~1.35,59.1~71.05,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E6%99%B6%E7%9F%B3%E8%9C%97%EF%BC%88%E8%A5%BF%E7%93%9C%E7%A2%A7%E7%8E%BA%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/a/a1/bllriabi2ywqr0cnc2au8wyehtcd21y.png,
77,040,100406,钻石蜗,钻石蜗,最终阶段,光,地,完全偏振,抵抗自己携带技能系别的攻击伤害。,93,96,101,124,91,65,570,,,否,矿晶虫,,,1.69~1.91,84.4~110.2,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E9%92%BB%E7%9F%B3%E8%9C%97,https://patchwiki.biligame.com/images/rocom/c/c8/379ip1suh21uv2vx5tolxovf9q121a7.png,
78,041,10041,奇丽草,奇丽草,Ⅰ阶,草,,养分重吸收,回合结束时，回复3能量。,67,69,69,73,57,48,383,,,是,奇丽草,,,0.38~0.55,4.1~5.7,商店街周边,0.6,https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E8%8D%89,https://patchwiki.biligame.com/images/rocom/1/1f/kv2w95rommythz2es62viqib0edez2m.png,
79,042,10042,奇丽叶,奇丽叶,Ⅱ阶,草,,养分重吸收,回合结束时，回复3能量。,90,92,92,97,76,64,511,,,是,奇丽草,,,0.62~0.89,24~31,拾荒港口,0.6,https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E5%8F%B6,https://patchwiki.biligame.com/images/rocom/8/89/qe7mpeopll2by3im70dsqtesufqq62z.png,
80,043,100431,奇丽果,奇丽果,最终阶段,草,,养分内循环,回合结束时，回复6能量。,112,128,128,133,105,80,686,,,是,奇丽草,,,1.68~2.2,72.4~105,常见于山地、草地,0.6,https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E6%9E%9C,https://patchwiki.biligame.com/images/rocom/0/02/34mpv4ti9cwjytjgw6d8wt5q0vn5d86.png,
81,043,10043,奇丽花,奇丽花,最终阶段,草,,养分重吸收,回合结束时，回复3能量。,112,115,115,121,95,80,638,,,是,奇丽草,,,1.11~1.58,42~58,晨曦山,0.6,https://wiki.biligame.com/rocom/%E5%A5%87%E4%B8%BD%E8%8A%B1,https://patchwiki.biligame.com/images/rocom/8/8c/dbgfehb9vsrkwnn1jkxtibxciapkdur.png,
82,044,100441,丢丢,丢丢（沙地附近的样子）,最终阶段,草,地,诈死,自己力竭时，少损失1点魔力。,44,42,12,55,43,75,271,,,否,丢丢（沙地附近的样子）,沙地附近的样子,,0.35~0.51,4.3~6.1,常见于草地、沙地、雪山,0.6,https://wiki.biligame.com/rocom/%E4%B8%A2%E4%B8%A2%EF%BC%88%E6%B2%99%E5%9C%B0%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/2/27/fpekmwg71361gsh3ihs6hhznq4al7hx.png,
83,044,100443,丢丢,丢丢（火山附近的样子）,Ⅰ阶,草,火,诈死,自己力竭时，少损失1点魔力。,0,0,0,0,0,0,0,,,,丢丢（火山附近的样子）,火山附近的样子,,,,,0.2,https://wiki.biligame.com/rocom/%E4%B8%A2%E4%B8%A2%EF%BC%88%E7%81%AB%E5%B1%B1%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/0/0b/ruciu7ybhb244ff3iz2ukedib2ux4h0.png,
84,044,10044,丢丢,丢丢（草地附近的样子）,Ⅰ阶,草,,诈死,自己力竭时，少损失1点魔力。,44,45,12,49,40,78,268,,,否,丢丢（草地附近的样子）,草地附近的样子,,0.35~0.51,4.3~6.1,监管区,0.6,https://wiki.biligame.com/rocom/%E4%B8%A2%E4%B8%A2%EF%BC%88%E8%8D%89%E5%9C%B0%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/6/69/ncos20b0z39xr0ir1185rzav8cxd9vz.png,
85,044,100442,丢丢,丢丢（雪山附近的样子）,Ⅰ阶,草,冰,诈死,自己力竭时，少损失1点魔力。,46,41,8,48,44,81,268,,,否,丢丢（雪山附近的样子）,雪山附近的样子,,0.35~0.51,4.3~6.1,常见于草地、沙地、雪山,0.6,https://wiki.biligame.com/rocom/%E4%B8%A2%E4%B8%A2%EF%BC%88%E9%9B%AA%E5%B1%B1%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/3/3d/pjkgffd8z2wbmfnt3fc31oriz8d6ze1.png,
86,045,100451,卡卡虫,卡卡虫（沙地附近的样子）,最终阶段,草,地,诈死,自己力竭时，少损失1点魔力。,58,56,16,74,57,100,361,,,否,丢丢（沙地附近的样子）,沙地附近的样子,,0.53~0.76,18.5~21.6,常见于草地、沙地、雪山,0.6,https://wiki.biligame.com/rocom/%E5%8D%A1%E5%8D%A1%E8%99%AB%EF%BC%88%E6%B2%99%E5%9C%B0%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/4/4a/rrw2t6m6qe6bc7a8lhw6ob1wt4rtgmt.png,
87,045,100453,卡卡虫,卡卡虫（火山附近的样子）,Ⅱ阶,草,火,诈死,自己力竭时，少损失1点魔力。,0,0,0,0,0,0,0,,,,丢丢（火山附近的样子）,火山附近的样子,,,,,0.2,https://wiki.biligame.com/rocom/%E5%8D%A1%E5%8D%A1%E8%99%AB%EF%BC%88%E7%81%AB%E5%B1%B1%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/5/5e/rh4e9152el8uyukcseloj0f6fgvbmew.png,
88,045,10045,卡卡虫,卡卡虫（草地附近的样子）,Ⅱ阶,草,,诈死,自己力竭时，少损失1点魔力。,59,60,16,65,53,104,357,,,否,丢丢（草地附近的样子）,草地附近的样子,,0.53~0.76,18.5~21.6,月兔暗港,0.6,https://wiki.biligame.com/rocom/%E5%8D%A1%E5%8D%A1%E8%99%AB%EF%BC%88%E8%8D%89%E5%9C%B0%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/d/d7/bi5t0j12hzaiw6f43kjijgblr8les6s.png,
89,045,100452,卡卡虫,卡卡虫（雪山附近的样子）,Ⅱ阶,草,冰,诈死,自己力竭时，少损失1点魔力。,62,54,11,64,58,108,357,,,否,丢丢（雪山附近的样子）,雪山附近的样子,,0.53~0.76,18.5~21.6,常见于草地、沙地、雪山,0.6,https://wiki.biligame.com/rocom/%E5%8D%A1%E5%8D%A1%E8%99%AB%EF%BC%88%E9%9B%AA%E5%B1%B1%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/3/3a/o0ut8ep1y5dgqemmi95j7db9snv0zl5.png,
90,046,100461,卡瓦重,卡瓦重（沙地附近的样子）,最终阶段,草,地,诈死,自己力竭时，少损失1点魔力。,73,70,20,92,71,125,451,,,否,丢丢（沙地附近的样子）,沙地附近的样子,,0.76~1.09,29~35.85,常见于草地、沙地、雪山,0.6,https://wiki.biligame.com/rocom/%E5%8D%A1%E7%93%A6%E9%87%8D%EF%BC%88%E6%B2%99%E5%9C%B0%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/8/8a/1zehqpohxyoby4g73ehlkybfop2ybj2.png,
91,046,100463,卡瓦重,卡瓦重（火山附近的样子）,最终阶段,草,火,诈死,自己力竭时，少损失1点魔力。,0,0,0,0,0,0,0,,,,丢丢（火山附近的样子）,火山附近的样子,,,,暂无  暂无获取方式,0.2,https://wiki.biligame.com/rocom/%E5%8D%A1%E7%93%A6%E9%87%8D%EF%BC%88%E7%81%AB%E5%B1%B1%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/6/68/fxwlorh631lrm6lntyfez8gwemylpjn.png,
92,046,10046,卡瓦重,卡瓦重（草地附近的样子）,最终阶段,草,,诈死,自己力竭时，少损失1点魔力。,74,75,20,81,67,130,447,,,否,丢丢（草地附近的样子）,草地附近的样子,,0.76~1.09,29~35.85,望风半岛,0.6,https://wiki.biligame.com/rocom/%E5%8D%A1%E7%93%A6%E9%87%8D%EF%BC%88%E8%8D%89%E5%9C%B0%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/9/95/ofh2y3cjn996jnxvajei3j5m1jole74.png,
93,046,100462,卡瓦重,卡瓦重（雪山附近的样子）,最终阶段,草,冰,诈死,自己力竭时，少损失1点魔力。,77,68,14,79,73,135,446,,,否,丢丢（雪山附近的样子）,雪山附近的样子,,0.76~1.09,29~35.85,常见于草地、沙地、雪山,0.6,https://wiki.biligame.com/rocom/%E5%8D%A1%E7%93%A6%E9%87%8D%EF%BC%88%E9%9B%AA%E5%B1%B1%E9%99%84%E8%BF%91%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/4/47/it101lv362eif65za2mmgzo83xbevhe.png,
94,047,10047,护主犬,护主犬,Ⅰ阶,火,,专注力,入场首回合，获得物攻+100%。,68,103,37,81,66,96,451,,,否,护主犬,,,0.64~0.92,13.6~17.5,常见于城镇、草地、雪山,0.6,https://wiki.biligame.com/rocom/%E6%8A%A4%E4%B8%BB%E7%8A%AC,https://patchwiki.biligame.com/images/rocom/6/64/t29c2r5ooabyzne8dt5uu9bzq10ibtz.png,
95,048,10048,音速犬,音速犬,最终阶段,火,,专注力,入场首回合，获得物攻+100%。,85,128,46,101,82,120,562,,,否,护主犬,,,1.13~1.62,39.5~51.5,常见于城镇、草地、雪山,0.6,https://wiki.biligame.com/rocom/%E9%9F%B3%E9%80%9F%E7%8A%AC,https://patchwiki.biligame.com/images/rocom/4/4e/8rkwz0k7qvejlxs78isa65ajn16o1qk.png,
96,048,100481,风暴战犬,风暴战犬,最终阶段,火,,全神贯注,入场时，获得物攻+100%，每次行动后-20%。,85,128,46,101,82,120,562,,,否,护主犬,,,1.75~1.91,61.03~79.06,常见于城镇、草地、雪山,0.6,https://wiki.biligame.com/rocom/%E9%A3%8E%E6%9A%B4%E6%88%98%E7%8A%AC,https://patchwiki.biligame.com/images/rocom/1/13/a4ia4bjbsmjsr1gjwdtyxhnbqm2w0ib.png,
97,049,10049,绿耳松鼠,绿耳松鼠,Ⅰ阶,普通,,囤积,每有1能量，获得双防+10%。,69,50,47,67,52,48,333,,,否,绿耳松鼠,,,0.47~0.68,3.5~6,常见于树林,0.6,https://wiki.biligame.com/rocom/%E7%BB%BF%E8%80%B3%E6%9D%BE%E9%BC%A0,https://patchwiki.biligame.com/images/rocom/b/b5/2foanarop7ik9wf1aqo37m7rdr3ug39.png,
98,050,10050,抱枕松鼠,抱枕松鼠,Ⅱ阶,普通,,囤积,每有1能量，获得双防+10%。,92,67,63,89,70,64,445,,,否,绿耳松鼠,,,0.6~0.84,21.05~27.08,常见于树林,0.6,https://wiki.biligame.com/rocom/%E6%8A%B1%E6%9E%95%E6%9D%BE%E9%BC%A0,https://patchwiki.biligame.com/images/rocom/3/3f/d7igqblvpoaio9o1ozoa2slcmskbzue.png,
99,051,10051,蹦床松鼠,蹦床松鼠,最终阶段,普通,,囤积,每有1能量，获得双防+10%。,114,84,79,111,87,80,555,,,否,绿耳松鼠,,,0.78~1.12,47.5~68.4,常见于树林,0.6,https://wiki.biligame.com/rocom/%E8%B9%A6%E5%BA%8A%E6%9D%BE%E9%BC%A0,https://patchwiki.biligame.com/images/rocom/5/5e/6lkej27f60uxygncdnl4oktj79t9da2.png,
100,052,10052,嘟嘟煲,嘟嘟煲,Ⅰ阶,毒,,复方汤剂,回合结束时，中毒效果触发次数+1。,110,29,82,71,83,84,459,,,是,嘟嘟煲,,,0.65~0.8,48.5~56,常见于炼金釜旁,0.6,https://wiki.biligame.com/rocom/%E5%98%9F%E5%98%9F%E7%85%B2,https://patchwiki.biligame.com/images/rocom/4/44/8gr1vgk1hjf59enrdxyhboe35g8rijd.png,
101,053,10053,嘟嘟锅,嘟嘟锅,最终阶段,毒,,复方汤剂,回合结束时，中毒效果触发次数+1。,137,36,102,89,104,105,573,,,是,嘟嘟煲,,,0.64~0.91,67.9~89.2,常见于炼金釜旁,0.6,https://wiki.biligame.com/rocom/%E5%98%9F%E5%98%9F%E9%94%85,https://patchwiki.biligame.com/images/rocom/2/2a/bn409ikm4m2ir8inziq4jgl12f1lk53.png,
102,054,10054,小灵面,小灵面,Ⅰ阶,幽,,惊吓,能量等于0的精灵，无法对自己造成伤害。,55,30,72,59,81,69,366,,,否,小灵面,,,0.38~0.55,0.1~0.55,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E5%B0%8F%E7%81%B5%E9%9D%A2,https://patchwiki.biligame.com/images/rocom/c/ce/60arfjew3ryqzrh5dqh8mi6axn595h4.png,
103,055,10055,暗影灵面,暗影灵面（睁眼的样子）,Ⅱ阶,幽,,惊吓,能量等于0的精灵，无法对自己造成伤害。,74,40,96,78,108,92,488,,,否,小灵面,睁眼的样子,时间为夜晚进化,0.75~0.86,0.12~1.16,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E6%9A%97%E5%BD%B1%E7%81%B5%E9%9D%A2%EF%BC%88%E7%9D%81%E7%9C%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/e/ee/8iz9eknhqvv3ntbw6r2ksojvp3dfekx.png,
104,055,100551,暗影灵面,暗影灵面（闭眼的样子）,最终阶段,幽,,惊吓,能量等于0的精灵，无法对自己造成伤害。,84,30,96,83,88,92,473,,,否,小灵面,闭眼的样子,时间为中午进化,0.75~0.86,0.12~1.16,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E6%9A%97%E5%BD%B1%E7%81%B5%E9%9D%A2%EF%BC%88%E9%97%AD%E7%9C%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/8/89/0v03ulzo7ip90eum9xkyf9yzqaal5zu.png,
105,056,10056,幽冥眼,幽冥眼（睁眼的样子）,最终阶段,幽,,惊吓,能量等于0的精灵，无法对自己造成伤害。,92,50,120,98,135,115,610,,,否,小灵面,睁眼的样子,时间为夜晚进化,1.55~1.65,1.5~2.86,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E5%B9%BD%E5%86%A5%E7%9C%BC%EF%BC%88%E7%9D%81%E7%9C%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/2/23/1y27uyj9zvo1gctws3g4ru9kgsg3thg.png,
106,056,100561,幽冥眼,幽冥眼（闭眼的样子）,最终阶段,幽,,惊吓,能量等于0的精灵，无法对自己造成伤害。,105,38,120,104,110,115,592,,,否,小灵面,闭眼的样子,时间为中午进化,1.55~1.65,1.5~2.86,常见于城镇周边,0.6,https://wiki.biligame.com/rocom/%E5%B9%BD%E5%86%A5%E7%9C%BC%EF%BC%88%E9%97%AD%E7%9C%BC%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/b/b6/9gufmg61a81w9ewfe2gvv8acpbhr9vw.png,
107,057,10057,梦游,梦游（穿旧睡衣的样子）,Ⅰ阶,幽,,做噩梦,敌方精灵离场后，更换入场的精灵失去3能量。,90,40,106,60,74,92,462,,,否,梦游（穿旧睡衣的样子）,穿旧睡衣的样子,,0.5~0.6,0.6~1.87,常见于草地,0.6,https://wiki.biligame.com/rocom/%E6%A2%A6%E6%B8%B8%EF%BC%88%E7%A9%BF%E6%97%A7%E7%9D%A1%E8%A1%A3%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/2/21/oaaweyscathn6oqa015bfb6o9w5cbsa.png,
